full_name,Selling_Price,Year,Seller_Type,km_driven,Owner _Type,Fuel_Type,Transmission_type,Mileage(Km/L),Engine(CC),max_power(bHP),,,,,
Maruti Alto Std,1.2,2012,Individual,120000,1st  ,Petrol,Manual,19.7,796,46,,,,,
Hyundai Grand i10 Asta,5.5,2016,Individual,20000,1st  ,Petrol,Manual,18.9,1197,82,,,,,
Hyundai i20 Asta,2.15,2010,Individual,60000,1st  ,Petrol,Manual,17,1197,80,,,,,
Maruti Alto K10 2010-2014 VXI,2.26,2012,Individual,37000,1st  ,Petrol,Manual,20.9,998,67,,,,,
Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,5.7,2015,Dealer,30000,1st  ,Diesel,Manual,22.8,1498,99,,,,,
Maruti Wagon R VXI BS IV,3.5,2013,Individual,35000,1st  ,Petrol,Manual,18.9,998,67,,,,,
Hyundai i10 Sportz 1.2,3.15,2013,Dealer,40000,1st  ,Petrol,Manual,20.4,1197,79,,,,,
Maruti Wagon R VXI,4.1,2018,Dealer,17512,1st  ,Petrol,Manual,20.5,998,67,,,,,
Hyundai Venue SX Plus Turbo DCT BSIV,10.5,2019,Individual,20000,1st  ,Petrol,Automatic,18.2,998,118,,,,,
Mahindra TUV 300 T6,5.75,2017,Dealer,70000,1st  ,Diesel,Manual,18.5,1493,100,,,,,
Tata Indigo LX (TDI) BS-III,3.05,2015,Individual,50000,1st  ,Diesel,Manual,19.1,1405,69,,,,,
Renault Captur Platine Dual Tone Diesel,11.5,2019,Individual,18000,1st  ,Diesel,Manual,20.4,1461,108,,,,,
Maruti Swift VXI with ABS,5.11,2017,Dealer,28321,1st  ,Petrol,Manual,16.6,1197,85,,,,,
Nissan Micra XL CVT,4.1,2016,Dealer,27000,1st  ,Petrol,Automatic,19.3,1198,76,,,,,
Hyundai Verna 1.6 SX,4.25,2013,Dealer,65278,1st  ,Diesel,Manual,22.3,1582,126,,,,,
Renault Duster 110PS Diesel RxL Explore,7.5,2016,Individual,50000,1st  ,Diesel,Manual,19.6,1461,108,,,,,
Mini Cooper Cooper S,32.5,2017,Dealer,6000,1st  ,Petrol,Automatic,14.4,1998,189,,,,,
Maruti Ciaz ZDi Plus SHVS,6.5,2016,Dealer,76000,1st  ,Diesel,Manual,28.1,1248,89,,,,,
Maruti Swift VDI BSIV,6.27,2016,Individual,20000,1st  ,Diesel,Manual,25.2,1248,74,,,,,
Mercedes-Benz C-Class C 220 CDI Avantgarde,14.25,2014,Dealer,65000,1st  ,Diesel,Automatic,19.3,2143,170,,,,,
Maruti Swift VDI,4.25,2014,Dealer,62200,1st  ,Diesel,Manual,28.4,1248,74,,,,,
Toyota Innova 2.5 GX (Diesel) 8 Seater,6.05,2013,Individual,110000,1st  ,Diesel,Manual,13,2494,101,,,,,
Maruti Baleno Zeta 1.2,6,2015,Individual,20000,1st  ,Petrol,Manual,21.4,1197,83,,,,,
Maruti Swift Dzire VXI,5.75,2016,Individual,40000,1st  ,Petrol,Manual,20.9,1197,83,,,,,
Fiat Grande Punto 1.3 Emotion Pack (Diesel),2.6,2012,Individual,97000,1st  ,Diesel,Manual,17.8,1248,76,,,,,
Volkswagen Vento 1.6 Comfortline BSIV,4.25,2013,Dealer,47000,1st  ,Petrol,Manual,16.1,1598,103,,,,,
Maruti Alto K10 2010-2014 VXI,2.3,2013,Dealer,25000,1st  ,Petrol,Manual,20.9,998,67,,,,,
Hyundai Creta 1.6 CRDi SX,12.25,2019,Individual,15000,1st  ,Diesel,Manual,19.7,1582,126,,,,,
Mahindra Xylo H9,3.75,2010,Dealer,56823,1st  ,Diesel,Manual,14,2179,118,,,,,
Honda City i VTEC VX,7.5,2015,Individual,50000,1st  ,Petrol,Manual,17.4,1497,117,,,,,
Mahindra Bolero SLE BSIII,3.5,2011,Individual,25000,1st  ,Diesel,Manual,13.6,2523,63,,,,,
Maruti Swift Dzire VDI,6,2015,Individual,90000,1st  ,Diesel,Manual,26.6,1248,74,,,,,
Maruti Swift Dzire LDI,3.9,2013,Dealer,45000,1st  ,Diesel,Manual,26.6,1248,74,,,,,
Honda City 2017-2020 GXi,1.45,2007,Dealer,77253,1st  ,Petrol,Manual,17.7,1497,78,,,,,
Hyundai i20 Active 1.2 SX,7,2018,Individual,25000,1st  ,Petrol,Manual,17.2,1197,82,,,,,
Toyota Fortuner 4x2 Manual,11.5,2013,Individual,110000,1st  ,Diesel,Manual,13,2982,169,,,,,
Renault KWID Climber 1.0 MT,3.4,2017,Individual,30000,1st  ,Petrol,Manual,23,999,67,,,,,
Honda Amaze S Petrol,4.65,2016,Dealer,39993,1st  ,Petrol,Manual,18.6,1199,89,,,,,
Hyundai Santro Xing GLS,1.25,2009,Individual,80000,1st  ,Petrol,Manual,17.9,1086,62,,,,,
